study_hours_per_week,attendance_percent,previous_grade,absences,internet_access,extracurricular_activity,result
7,59.0,85.0,5,Yes,No,Fail
4,79.0,58.0,14,Yes,Yes,Fail
13,74.0,50.0,2,Yes,No,Pass
15,88.0,52.0,5,Yes,Yes,Pass
11,69.0,85.0,2,Yes,No,Pass
8,54.0,84.0,0,Yes,No,Pass
13,50.0,40.0,12,No,Yes,Fail
5,79.0,79.0,20,No,Yes,Fail
7,98.0,83.0,13,Yes,Yes,Fail
10,52.0,58.0,12,Yes,No,Fail
3,94.0,51.0,3,Yes,Yes,Fail
7,63.0,47.0,6,Yes,No,Fail
11,79.0,47.0,9,Yes,No,Fail
11,99.0,100.0,6,Yes,No,Pass
8,53.0,92.0,20,Yes,Yes,Fail
5,67.0,84.0,14,Yes,No,Fail
4,86.0,51.0,14,Yes,Yes,Fail
8,74.0,100.0,3,Yes,No,Pass
8,97.0,87.0,5,Yes,No,Pass
3,50.0,72.0,19,Yes,No,Fail
6,95.0,84.0,4,Yes,Yes,Pass
5,64.0,65.0,19,Yes,Yes,Fail
2,58.0,78.0,11,Yes,Yes,Fail
8,64.0,67.0,0,Yes,No,Pass
12,98.0,97.0,7,Yes,Yes,Pass
14,73.0,44.0,0,Yes,No,Pass
6,53.0,47.0,4,Yes,No,Fail
2,61.0,64.0,5,Yes,No,Fail
12,86.0,66.0,20,Yes,Yes,Fail
5,86.0,85.0,2,Yes,No,Pass
1,92.0,62.0,14,Yes,No,Fail
12,55.0,69.0,4,Yes,No,Fail
10,88.0,84.0,13,Yes,Yes,Pass
6,95.0,86.0,17,Yes,Yes,Fail
13,73.0,62.0,15,Yes,Yes,Pass
12,60.0,88.0,5,No,No,Pass
9,62.0,86.0,13,Yes,No,Fail
1,83.0,59.0,7,Yes,No,Fail
11,74.0,57.0,6,Yes,Yes,Pass
11,56.0,57.0,7,Yes,Yes,Fail
15,53.0,41.0,12,Yes,Yes,Pass
10,57.0,43.0,5,Yes,Yes,Fail
12,69.0,69.0,17,Yes,Yes,Pass
12,78.0,72.0,1,Yes,No,Pass
15,100.0,75.0,7,,No,Pass
14,94.0,57.0,10,Yes,No,Pass
14,95.0,76.0,0,Yes,Yes,Pass
15,59.0,58.0,5,Yes,Yes,Pass
14,92.0,86.0,15,Yes,No,Pass
3,83.0,67.0,19,No,No,Fail
12,75.0,79.0,11,No,Yes,Pass
7,90.0,59.0,10,Yes,No,Fail
4,98.0,88.0,9,Yes,Yes,Fail
9,52.0,72.0,2,No,No,Pass
3,55.0,51.0,12,Yes,No,Fail
5,54.0,97.0,2,Yes,Yes,Pass
3,54.0,90.0,14,No,No,Fail
7,96.0,54.0,15,Yes,Yes,Fail
5,72.0,80.0,12,Yes,No,Fail
9,98.0,78.0,16,Yes,Yes,Pass
7,58.0,41.0,2,Yes,No,Fail
2,84.0,68.0,19,No,No,Fail
4,69.0,80.0,10,Yes,No,Fail
9,98.0,49.0,20,Yes,Yes,Fail
12,91.0,41.0,18,Yes,No,Fail
14,84.0,90.0,10,Yes,Yes,Pass
2,99.0,50.0,15,Yes,Yes,Fail
10,67.0,52.0,20,Yes,No,Fail
9,66.0,49.0,2,No,Yes,Fail
10,73.0,53.0,5,Yes,Yes,Fail
5,52.0,57.0,13,Yes,No,Fail
2,81.0,90.0,17,Yes,Yes,Fail
4,84.0,93.0,16,Yes,No,Fail
12,87.0,48.0,3,No,Yes,Fail
15,62.0,96.0,14,Yes,Yes,Pass
12,,78.0,10,Yes,Yes,Pass
7,74.0,67.0,2,Yes,No,Fail
12,58.0,42.0,2,Yes,No,Fail
13,53.0,59.0,15,Yes,Yes,Fail
8,63.0,45.0,4,Yes,Yes,Fail
15,86.0,66.0,20,Yes,No,Fail
3,83.0,92.0,9,No,Yes,Fail
14,60.0,41.0,18,Yes,No,Fail
1,90.0,68.0,3,No,Yes,Fail
4,52.0,77.0,18,Yes,No,Fail
2,77.0,42.0,10,Yes,Yes,Fail
8,78.0,55.0,1,Yes,No,Fail
4,58.0,69.0,9,Yes,No,Fail
2,52.0,79.0,10,Yes,Yes,Fail
14,74.0,41.0,19,Yes,Yes,Fail
6,83.0,56.0,15,Yes,No,Fail
6,61.0,80.0,18,No,No,Fail
10,91.0,51.0,10,Yes,Yes,Fail
4,58.0,74.0,13,Yes,Yes,Fail
6,64.0,82.0,1,Yes,No,Fail
13,89.0,40.0,4,Yes,Yes,Pass
15,74.0,94.0,4,Yes,No,Pass
2,54.0,84.0,18,Yes,No,Fail
10,60.0,54.0,20,Yes,No,Fail
12,83.0,65.0,11,Yes,No,Fail
2,73.0,76.0,17,No,No,Fail
10,64.0,60.0,3,Yes,Yes,Fail
14,87.0,88.0,16,Yes,No,Pass
4,57.0,70.0,9,Yes,Yes,Fail
14,54.0,64.0,19,Yes,No,Fail
15,97.0,62.0,5,Yes,No,Pass
15,75.0,63.0,13,Yes,Yes,Pass
8,67.0,96.0,10,Yes,No,Pass
14,55.0,77.0,10,Yes,Yes,Pass
7,86.0,67.0,17,Yes,No,Fail
12,97.0,60.0,17,Yes,No,Fail
9,62.0,93.0,10,Yes,No,Fail
14,77.0,82.0,20,Yes,Yes,Pass
8,54.0,57.0,11,Yes,Yes,Fail
5,62.0,75.0,4,Yes,No,Fail
13,66.0,74.0,8,Yes,Yes,Fail
2,99.0,84.0,8,Yes,No,Fail
15,89.0,94.0,9,Yes,Yes,Pass
5,94.0,48.0,18,Yes,No,Fail
8,81.0,92.0,0,No,No,Pass
10,78.0,77.0,6,Yes,No,Pass
9,100.0,97.0,3,Yes,No,Pass
12,52.0,69.0,0,Yes,Yes,Pass
12,89.0,99.0,14,Yes,No,Pass
12,83.0,83.0,7,No,Yes,Pass
13,89.0,73.0,11,Yes,Yes,Pass
9,76.0,71.0,17,Yes,Yes,Fail
13,62.0,42.0,14,Yes,No,Fail
15,94.0,42.0,16,No,No,Fail
13,82.0,67.0,13,No,Yes,Pass
1,55.0,83.0,13,Yes,Yes,Fail
9,73.0,54.0,17,No,Yes,Fail
7,68.0,80.0,19,Yes,No,Fail
9,65.0,62.0,17,Yes,,Fail
8,89.0,79.0,15,Yes,Yes,Pass
1,77.0,50.0,0,Yes,Yes,Fail
12,82.0,87.0,10,Yes,No,Pass
8,97.0,71.0,14,Yes,Yes,Fail
8,90.0,97.0,11,Yes,No,Pass
15,62.0,98.0,7,Yes,Yes,Pass
11,92.0,96.0,19,Yes,No,Fail
3,94.0,93.0,5,Yes,No,Pass
1,74.0,75.0,2,Yes,No,Fail
8,91.0,99.0,12,Yes,Yes,Pass
3,85.0,72.0,12,Yes,Yes,Fail
3,76.0,63.0,1,Yes,Yes,Fail
1,87.0,78.0,4,No,No,Fail
11,56.0,73.0,16,Yes,Yes,Fail
5,54.0,95.0,5,Yes,Yes,Fail
10,92.0,67.0,1,No,No,Pass
7,94.0,76.0,3,Yes,No,Pass
10,100.0,46.0,10,No,Yes,Fail
9,80.0,43.0,7,Yes,Yes,Fail
12,72.0,76.0,11,Yes,No,Pass
7,91.0,95.0,7,Yes,No,Pass
9,59.0,40.0,10,Yes,No,Fail
8,81.0,40.0,19,Yes,No,Fail
12,92.0,86.0,7,Yes,Yes,Pass
2,79.0,59.0,7,Yes,Yes,Fail
1,88.0,58.0,16,No,Yes,Fail
7,80.0,68.0,19,Yes,No,Fail
7,67.0,49.0,19,Yes,No,Fail
14,85.0,99.0,15,Yes,Yes,Pass
8,51.0,57.0,13,Yes,No,Fail
5,63.0,67.0,10,No,Yes,Fail
3,62.0,74.0,6,Yes,No,Fail
12,78.0,82.0,15,Yes,No,Fail
8,61.0,86.0,12,Yes,Yes,Fail
6,88.0,70.0,14,Yes,Yes,Fail
11,51.0,66.0,15,No,No,Fail
3,81.0,50.0,20,Yes,No,Fail
1,62.0,88.0,8,Yes,No,Fail
3,95.0,88.0,2,No,No,Pass
5,76.0,77.0,18,No,No,Fail
15,98.0,44.0,19,Yes,Yes,Pass
14,,47.0,4,Yes,Yes,Pass
3,66.0,73.0,9,Yes,No,Fail
1,89.0,87.0,16,Yes,Yes,Fail
5,80.0,91.0,14,No,No,Fail
10,83.0,95.0,7,Yes,Yes,Pass
7,73.0,51.0,14,Yes,Yes,Fail
15,94.0,77.0,20,Yes,Yes,Pass
14,84.0,,13,Yes,No,Fail
7,97.0,70.0,19,Yes,Yes,Fail
11,55.0,43.0,6,Yes,No,Fail
9,68.0,88.0,20,Yes,No,Fail
15,79.0,84.0,11,Yes,No,Pass
15,56.0,89.0,16,Yes,No,Fail
10,59.0,44.0,16,Yes,Yes,Fail
10,90.0,69.0,9,Yes,No,Fail
12,81.0,95.0,18,Yes,Yes,Pass
13,83.0,63.0,13,Yes,No,Fail
3,77.0,98.0,10,Yes,Yes,Fail
15,64.0,42.0,1,Yes,No,Pass
7,79.0,50.0,17,Yes,No,Fail
1,86.0,84.0,6,Yes,No,Fail
4,78.0,43.0,11,No,No,Fail
13,71.0,65.0,1,Yes,No,Pass
4,53.0,66.0,19,Yes,Yes,Fail
14,69.0,85.0,17,No,No,Fail
5,81.0,93.0,5,Yes,Yes,Fail
7,85.0,82.0,9,Yes,No,Fail
7,99.0,66.0,19,Yes,No,Fail
13,53.0,81.0,14,No,No,Pass
15,76.0,90.0,4,Yes,No,Pass
11,66.0,89.0,19,Yes,No,Pass
13,61.0,45.0,2,Yes,No,Pass
4,71.0,98.0,4,Yes,Yes,Pass
13,66.0,100.0,7,Yes,No,Pass
7,59.0,54.0,7,Yes,No,Fail
11,50.0,92.0,7,Yes,No,Pass
3,71.0,69.0,11,Yes,No,Fail
6,75.0,81.0,7,Yes,Yes,Fail
12,67.0,76.0,10,Yes,Yes,Pass
2,99.0,97.0,13,No,No,Fail
10,63.0,100.0,7,Yes,Yes,Pass
13,96.0,76.0,9,Yes,Yes,Pass
14,78.0,81.0,6,Yes,No,Pass
9,61.0,99.0,16,Yes,No,Fail
5,85.0,76.0,3,Yes,No,Pass
6,84.0,74.0,12,Yes,Yes,Fail
12,61.0,62.0,3,Yes,No,Pass
12,56.0,45.0,4,Yes,Yes,Fail
12,78.0,43.0,3,Yes,No,Pass
12,60.0,57.0,17,No,Yes,Fail
4,82.0,99.0,5,No,No,Pass
14,55.0,48.0,1,Yes,No,Pass
14,96.0,88.0,10,Yes,Yes,Pass
11,64.0,68.0,13,Yes,No,Fail
10,81.0,52.0,4,No,No,Fail
7,100.0,98.0,5,Yes,Yes,Pass
12,60.0,86.0,9,No,No,Pass
9,72.0,91.0,7,Yes,Yes,Fail
7,75.0,56.0,13,No,No,Fail
14,83.0,84.0,2,No,No,Pass
1,95.0,71.0,11,Yes,Yes,Fail
1,83.0,87.0,15,Yes,No,Fail
9,78.0,61.0,16,Yes,Yes,Fail
11,53.0,43.0,0,Yes,Yes,Fail
14,66.0,44.0,9,Yes,No,Fail
9,84.0,76.0,9,Yes,No,Pass
4,62.0,80.0,20,Yes,No,Fail
13,90.0,88.0,1,Yes,Yes,Pass
9,88.0,52.0,8,Yes,Yes,Pass
3,64.0,73.0,12,Yes,No,Fail
7,78.0,84.0,15,Yes,Yes,Fail
6,78.0,61.0,17,No,Yes,Fail
8,60.0,92.0,18,Yes,No,Fail
11,81.0,98.0,11,Yes,No,Fail
9,51.0,62.0,7,Yes,No,Fail
14,96.0,90.0,16,Yes,Yes,Pass
5,63.0,42.0,14,Yes,Yes,Fail
1,69.0,81.0,9,Yes,Yes,Fail
3,71.0,73.0,14,Yes,,Fail
10,60.0,71.0,14,Yes,Yes,Fail
12,76.0,84.0,6,Yes,No,Pass
8,52.0,90.0,12,No,No,Fail
15,66.0,97.0,16,No,No,Pass
11,93.0,88.0,8,Yes,No,Pass
6,77.0,60.0,7,,Yes,Fail
8,78.0,85.0,19,Yes,Yes,Fail
9,70.0,83.0,20,Yes,No,Fail
4,96.0,60.0,17,Yes,Yes,Fail
1,65.0,83.0,12,Yes,No,Fail
14,86.0,50.0,15,No,No,Fail
1,,78.0,8,No,No,Fail
10,55.0,43.0,11,Yes,Yes,Fail
4,68.0,90.0,11,Yes,No,Fail
12,54.0,40.0,5,Yes,Yes,Pass
14,52.0,67.0,18,Yes,No,Fail
7,50.0,63.0,6,Yes,Yes,Fail
2,87.0,100.0,2,Yes,No,Pass
3,64.0,74.0,15,No,Yes,Fail
1,83.0,52.0,17,Yes,No,Fail
5,84.0,86.0,15,Yes,No,Fail
1,98.0,73.0,6,Yes,No,Fail
8,74.0,50.0,3,Yes,Yes,Fail
1,73.0,75.0,7,Yes,,Fail
11,61.0,90.0,12,Yes,No,Fail
1,67.0,100.0,12,Yes,Yes,Fail
2,64.0,56.0,16,Yes,Yes,Fail
2,93.0,74.0,16,Yes,Yes,Fail
12,65.0,99.0,4,No,Yes,Pass
6,76.0,57.0,5,Yes,No,Fail
7,57.0,79.0,18,Yes,No,Fail
5,95.0,61.0,12,Yes,Yes,Fail
1,74.0,96.0,13,Yes,No,Fail
1,66.0,63.0,3,Yes,No,Fail
3,78.0,97.0,6,No,Yes,Fail
14,57.0,58.0,7,No,No,Pass
2,64.0,76.0,12,Yes,No,Fail
5,76.0,78.0,5,Yes,No,Fail
12,95.0,60.0,5,Yes,Yes,Pass
10,99.0,47.0,20,Yes,No,Fail
6,56.0,67.0,2,Yes,Yes,Fail
7,52.0,44.0,2,Yes,No,Pass
4,78.0,56.0,12,Yes,Yes,Fail
7,93.0,76.0,1,Yes,No,Pass
11,73.0,75.0,15,Yes,Yes,Fail
8,52.0,93.0,5,No,Yes,Pass
11,69.0,58.0,7,Yes,No,Fail
1,95.0,66.0,7,Yes,Yes,Fail
15,64.0,92.0,5,Yes,No,Pass
6,74.0,73.0,13,Yes,No,Fail
8,79.0,50.0,2,Yes,No,Fail
5,63.0,93.0,9,Yes,Yes,Fail
4,56.0,84.0,2,No,No,Fail
2,66.0,86.0,11,Yes,No,Fail
6,93.0,51.0,16,Yes,No,Fail
6,69.0,93.0,4,Yes,Yes,Pass
11,85.0,60.0,19,Yes,No,Fail
15,58.0,93.0,8,Yes,No,Pass
1,87.0,50.0,20,No,Yes,Fail
9,97.0,78.0,19,Yes,Yes,Fail
12,71.0,67.0,6,Yes,Yes,Fail
11,51.0,44.0,3,Yes,No,Fail
6,73.0,56.0,12,Yes,No,Fail
13,57.0,95.0,12,No,No,Fail
3,60.0,59.0,9,No,Yes,Fail
4,62.0,80.0,17,Yes,Yes,Fail
12,66.0,85.0,16,Yes,No,Fail
11,57.0,97.0,19,Yes,No,Pass
4,70.0,51.0,19,Yes,No,Fail
3,67.0,45.0,12,No,No,Fail
10,79.0,56.0,16,Yes,Yes,Fail
3,67.0,90.0,3,Yes,No,Pass
15,95.0,58.0,0,Yes,Yes,Pass
3,96.0,65.0,0,No,Yes,Fail
4,80.0,87.0,14,Yes,No,Fail
7,87.0,83.0,12,Yes,Yes,Fail
4,81.0,83.0,16,Yes,Yes,Fail
9,60.0,91.0,7,No,Yes,Pass
1,94.0,71.0,17,Yes,Yes,Fail
8,74.0,45.0,12,Yes,No,Fail
7,82.0,94.0,13,Yes,Yes,Fail
2,87.0,97.0,7,Yes,Yes,Fail
8,90.0,75.0,7,Yes,Yes,Pass
1,57.0,77.0,14,No,Yes,Fail
11,60.0,50.0,12,Yes,Yes,Fail
12,71.0,72.0,6,Yes,No,Fail
9,100.0,63.0,4,Yes,Yes,Pass
9,73.0,62.0,16,Yes,No,Fail
2,90.0,54.0,15,No,No,Fail
7,66.0,66.0,1,Yes,No,Fail
15,61.0,50.0,17,Yes,Yes,Fail
14,95.0,96.0,16,Yes,Yes,Pass
10,81.0,90.0,6,Yes,No,Pass
3,64.0,89.0,12,Yes,No,Fail
7,65.0,56.0,17,Yes,No,Fail
12,71.0,90.0,13,Yes,No,Pass
10,77.0,92.0,17,Yes,No,Fail
9,69.0,53.0,12,Yes,No,Fail
4,82.0,66.0,10,Yes,No,Fail
12,59.0,57.0,20,No,Yes,Fail
1,89.0,67.0,20,Yes,No,Fail
2,81.0,90.0,15,Yes,No,Fail
1,99.0,86.0,16,Yes,Yes,Fail
14,82.0,86.0,7,Yes,No,Pass
12,51.0,43.0,18,Yes,No,Fail
5,82.0,46.0,19,Yes,No,Fail
5,82.0,84.0,14,Yes,No,Fail
11,90.0,74.0,8,No,Yes,Pass
7,62.0,87.0,19,Yes,No,Fail
9,,48.0,9,Yes,No,Fail
9,82.0,47.0,11,Yes,No,Fail
3,62.0,91.0,20,Yes,Yes,Fail
3,75.0,84.0,19,Yes,Yes,Fail
3,71.0,56.0,0,Yes,No,Fail
4,88.0,56.0,19,Yes,Yes,Fail
8,51.0,88.0,8,No,Yes,Pass
6,87.0,72.0,14,Yes,No,Fail
8,88.0,71.0,0,Yes,No,Pass
1,75.0,47.0,11,No,Yes,Fail
8,95.0,58.0,2,Yes,Yes,Pass
4,99.0,77.0,10,Yes,Yes,Fail
11,64.0,42.0,1,No,No,Fail
1,83.0,,15,Yes,Yes,Fail
8,91.0,44.0,8,No,Yes,Fail
4,93.0,52.0,14,Yes,No,Fail
6,98.0,86.0,11,Yes,No,Pass
8,89.0,85.0,0,No,No,Pass
4,60.0,100.0,12,Yes,Yes,Fail
14,52.0,70.0,13,Yes,Yes,Pass
3,55.0,94.0,7,Yes,No,Fail
14,58.0,55.0,7,No,Yes,Pass
9,55.0,89.0,11,No,No,Fail
3,58.0,71.0,0,Yes,Yes,Fail
9,88.0,61.0,10,Yes,Yes,Fail
13,80.0,68.0,7,No,No,Fail
2,81.0,61.0,9,Yes,No,Fail
14,90.0,82.0,18,Yes,No,Fail
2,99.0,42.0,10,Yes,Yes,Fail
2,61.0,93.0,6,Yes,Yes,Fail
6,57.0,49.0,10,Yes,No,Fail
3,57.0,81.0,16,Yes,No,Fail
13,99.0,60.0,0,Yes,Yes,Pass
9,77.0,55.0,20,No,Yes,Fail
4,69.0,51.0,20,Yes,Yes,Fail
1,96.0,41.0,7,Yes,No,Fail
4,56.0,80.0,5,Yes,No,Fail
1,60.0,63.0,17,Yes,No,Fail
14,69.0,74.0,5,Yes,,Pass
5,65.0,95.0,4,Yes,No,Pass
4,53.0,69.0,12,Yes,Yes,Fail
8,55.0,96.0,18,No,No,Fail
8,71.0,69.0,7,Yes,No,Fail
7,75.0,86.0,8,Yes,Yes,Pass
3,52.0,74.0,16,Yes,Yes,Fail
1,90.0,58.0,2,No,Yes,Fail
1,91.0,89.0,18,Yes,Yes,Fail
12,63.0,47.0,10,Yes,No,Fail
11,60.0,65.0,16,Yes,No,Fail
3,67.0,88.0,20,Yes,No,Fail
6,61.0,79.0,18,Yes,No,Fail
7,72.0,46.0,1,Yes,No,Fail
6,61.0,69.0,7,No,Yes,Fail
14,62.0,46.0,18,No,Yes,Fail
14,74.0,42.0,6,Yes,No,Pass
6,94.0,40.0,16,No,Yes,Fail
6,100.0,75.0,5,Yes,No,Fail
13,68.0,64.0,18,Yes,Yes,Pass
3,95.0,76.0,5,Yes,No,Fail
6,85.0,40.0,1,Yes,No,Fail
8,94.0,54.0,5,No,Yes,Fail
11,57.0,76.0,4,Yes,Yes,Fail
11,78.0,52.0,18,Yes,No,Fail
2,81.0,79.0,19,Yes,Yes,Fail
5,100.0,47.0,3,Yes,Yes,Fail
14,93.0,44.0,16,Yes,No,Fail
1,67.0,99.0,10,Yes,Yes,Fail
12,55.0,48.0,3,Yes,No,Fail
15,67.0,40.0,12,No,No,Fail
1,68.0,75.0,19,Yes,Yes,Fail
5,71.0,74.0,16,Yes,No,Fail
12,86.0,41.0,8,No,No,Fail
13,81.0,79.0,3,Yes,Yes,Pass
3,90.0,62.0,13,Yes,Yes,Fail
4,52.0,48.0,18,Yes,Yes,Fail
3,77.0,73.0,2,Yes,Yes,Fail
1,59.0,85.0,13,Yes,Yes,Fail
1,100.0,53.0,7,Yes,Yes,Fail
12,84.0,43.0,0,Yes,Yes,Pass
12,78.0,69.0,9,Yes,No,Fail
14,64.0,70.0,17,Yes,No,Pass
13,82.0,77.0,15,Yes,No,Fail
14,56.0,50.0,7,Yes,No,Pass
5,61.0,74.0,0,Yes,No,Fail
6,98.0,47.0,11,Yes,No,Fail
3,79.0,42.0,7,Yes,No,Fail
12,70.0,53.0,15,Yes,Yes,Fail
9,80.0,99.0,17,No,No,Pass
5,73.0,52.0,3,Yes,Yes,Fail
8,69.0,84.0,5,Yes,Yes,Fail
13,86.0,71.0,11,Yes,No,Pass
1,53.0,73.0,8,No,Yes,Fail
14,77.0,84.0,14,Yes,Yes,Pass
5,93.0,100.0,15,Yes,No,Fail
15,69.0,58.0,11,No,No,Pass
3,73.0,98.0,13,Yes,No,Pass
12,99.0,77.0,12,Yes,No,Pass
1,98.0,55.0,1,Yes,Yes,Fail
4,100.0,41.0,2,,Yes,Fail
15,81.0,79.0,9,Yes,No,Pass
13,90.0,56.0,8,Yes,Yes,Pass
5,85.0,94.0,19,Yes,No,Fail
7,83.0,73.0,7,Yes,Yes,Pass
1,85.0,81.0,9,Yes,No,Fail
3,51.0,99.0,18,Yes,No,Fail
2,64.0,55.0,2,Yes,No,Fail
9,83.0,77.0,4,No,No,Pass
10,85.0,99.0,2,Yes,No,Pass
15,55.0,41.0,15,No,Yes,Fail
6,88.0,41.0,16,Yes,Yes,Fail
10,91.0,65.0,14,Yes,Yes,Fail
3,100.0,52.0,2,Yes,Yes,Fail
8,100.0,95.0,11,Yes,Yes,Pass
14,61.0,86.0,8,Yes,No,Pass
8,52.0,70.0,20,Yes,Yes,Fail
2,94.0,99.0,11,No,No,Fail
15,67.0,73.0,14,Yes,No,Fail
6,89.0,78.0,1,Yes,Yes,Pass
7,70.0,42.0,17,Yes,Yes,Fail
2,64.0,47.0,19,No,Yes,Fail
15,82.0,62.0,11,Yes,No,Pass
11,84.0,53.0,3,Yes,Yes,Pass
10,75.0,95.0,15,Yes,Yes,Fail
2,57.0,94.0,15,Yes,No,Fail
10,85.0,66.0,0,Yes,Yes,Pass
1,97.0,93.0,1,Yes,No,Fail
8,79.0,68.0,2,Yes,No,Fail
1,72.0,78.0,20,Yes,No,Fail
9,91.0,92.0,19,Yes,Yes,Fail
11,93.0,78.0,16,Yes,No,Pass
6,63.0,40.0,19,No,No,Fail
7,63.0,56.0,20,Yes,Yes,Fail
13,51.0,80.0,0,Yes,Yes,Pass
10,86.0,69.0,19,Yes,Yes,Fail
7,54.0,92.0,5,Yes,No,Pass
10,87.0,52.0,14,No,No,Fail
3,94.0,60.0,13,Yes,No,Fail
2,90.0,58.0,19,Yes,No,Fail
9,96.0,92.0,14,Yes,Yes,Fail
8,63.0,58.0,13,Yes,Yes,Fail
13,88.0,96.0,20,Yes,No,Pass
12,74.0,64.0,4,Yes,No,Pass
10,69.0,61.0,5,No,No,Fail
7,51.0,70.0,16,Yes,No,Fail
9,88.0,56.0,10,Yes,No,Fail
4,55.0,94.0,15,Yes,No,Fail
13,66.0,62.0,11,Yes,No,Fail
4,74.0,71.0,14,Yes,No,Fail
1,77.0,49.0,3,Yes,Yes,Fail
8,51.0,49.0,17,No,No,Fail
14,84.0,75.0,20,Yes,Yes,Pass
14,86.0,47.0,2,Yes,No,Pass
12,54.0,93.0,7,Yes,No,Fail
3,50.0,91.0,2,Yes,No,Fail
